packet_id,timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packet_size,duration,syn_flag,ack_flag,fin_flag,failed_logins,packet_rate,label
6253,1763242585.190781,11,201,46585,80,1,502,3.487334028898593,0,1,1,0,23.699078084279172,benign
4685,1763243822.7363286,155,8,35476,80,0,702,1.973803406585214,1,0,1,0,8.070010807948002,benign
1732,1763242503.1027067,127,221,46496,53,0,850,2.069408916264115,0,0,1,0,25.81830871400097,benign
4743,1763244575.1882942,116,139,48202,53,0,1014,1.3057361888633163,1,1,0,0,36.565272643279144,benign
4522,1763243195.0996697,33,163,18321,443,1,1023,3.3339944449901346,1,0,1,0,23.539205690352958,benign
6341,1763245227.1664157,158,221,14157,53,0,316,0.7594186300800546,1,0,1,0,6.660892572272662,benign
577,1763242638.1787224,112,224,53973,22,0,968,4.934159259160611,0,2,1,0,34.2084388188647,benign
5203,1763243878.0195909,149,130,45574,22,1,98,0.9919152534721801,1,1,1,0,39.53665002035449,benign
6364,1763243199.2940013,95,168,51716,21,1,647,1.8400479731197075,1,1,1,0,44.888987058769885,benign
440,1763242436.1888108,86,4,45278,443,1,229,4.336828717104887,0,2,1,0,24.74236175892053,benign
2751,1763243067.5921557,128,213,24214,80,0,243,4.6606368695789975,0,1,0,0,42.420277285175125,benign
7488,1763242412.1081114,13,204,62513,443,0,96,0.008636680215769103,18,1,0,0,1566.102692354852,malicious
5273,1763243124.0426698,161,141,17197,21,0,864,2.603739667311839,1,1,1,0,49.454668366004874,benign
5654,1763243058.6623082,55,184,23368,25,0,263,1.0430364339192169,1,0,0,0,1.270215689529211,benign
4000,1763243858.7446356,152,71,51117,25,1,446,4.107422315239886,0,0,1,0,18.03370385417995,benign
6034,1763244427.0825336,152,102,23155,443,1,398,0.3233828037987561,1,2,0,0,11.500246788966992,benign
583,1763242652.2824326,13,1,42529,53,0,1323,2.6850618800971575,0,1,1,0,22.592579287790382,benign
9931,1763242549.827866,51,209,41367,21,0,357,1.3074320724458783,1,1,1,10,51.06851857591869,malicious
7052,1763242388.1408112,4,200,46466,443,0,97,0.09971651531015373,6,1,0,0,632.4172451006423,malicious
8159,1763242463.1037166,54,208,47635,2982,0,70,0.014434291182207511,1,0,0,0,135.8075746580019,malicious
9897,1763242393.0708215,105,207,28166,22,0,160,1.0170942896358606,1,1,1,4,13.626656852976424,malicious
2250,1763242889.276772,72,199,21288,443,1,1451,4.718249656377164,1,1,0,0,17.73601036090015,benign
4641,1763244417.0821314,165,234,45158,21,0,510,4.536742917495148,1,2,0,0,16.96393832827945,benign
9486,1763242408.1549342,233,207,61796,22,0,434,1.5890027665033217,1,2,0,13,59.99045337304709,malicious
4948,1763243901.4552286,147,227,53569,25,0,277,1.5275570413955275,1,2,1,0,19.89150061715214,benign
9921,1763242674.272312,111,200,50133,23,0,346,1.2234515256562244,2,2,1,19,94.48262544404493,malicious
1964,1763243091.920359,112,97,37658,443,0,303,0.4357773392252419,1,1,1,0,29.157461460470113,benign
8244,1763242509.6986616,119,208,27147,3460,0,76,0.013555524001779068,1,0,0,0,306.7482664060148,malicious
6591,1763245204.000451,140,227,58276,443,0,364,3.0489304063410407,0,0,1,0,27.217558000397336,benign
8848,1763242389.1721623,175,205,12675,33680,0,57,0.04624067004132225,1,0,0,0,452.1570749146405,malicious
322,1763242491.621869,214,31,11600,53,1,1097,4.125016759048707,1,1,1,0,23.695463120815745,benign
2679,1763243483.2309914,12,73,38903,443,1,241,3.310748671111588,1,2,1,0,43.71013969221752,benign
4626,1763242871.2706516,182,2,38864,53,1,619,3.8737090009493116,1,1,0,0,38.464547190537935,benign
4950,1763242641.1823604,63,242,4802,53,1,1046,3.4429973710190005,1,2,0,0,44.99315510021198,benign
8329,1763242429.9278383,29,202,65104,27083,0,70,0.04646166975483142,1,0,0,0,445.2680829296636,malicious
3338,1763243492.8110554,247,66,9283,21,1,64,3.0196581130357223,1,1,1,0,20.254630157085703,benign
5590,1763243984.8973963,205,82,28565,80,0,543,0.7252149788912746,1,0,1,0,27.72864299690591,benign
252,1763242399.656026,143,210,50847,22,1,1007,4.69043006396215,1,1,1,0,39.597937760857725,benign
3974,1763243186.4357448,10,141,38254,21,0,867,3.411962585831489,0,1,0,0,48.2101340527235,benign
6631,1763242672.6399677,217,76,23651,443,1,275,3.3172921060821587,0,1,0,0,39.16916278784008,benign
5548,1763244687.4599314,206,190,41183,21,0,449,4.241527103323124,0,1,1,0,12.178464696553934,benign
36,1763242396.7941961,32,215,60350,53,0,638,4.911020352721603,1,1,1,0,2.494512247013422,benign
8363,1763242450.231429,12,209,56729,21608,0,67,0.016393791121649043,1,0,0,0,231.79531435909323,malicious
1514,1763242531.8496072,5,156,22260,80,0,918,4.501295242277594,1,2,1,0,39.03780153689635,benign
9318,1763242529.845395,219,207,53625,3389,0,334,1.859836272035093,2,2,0,14,57.96035204556208,malicious
40,1763242400.0638962,129,58,30329,80,0,865,1.274958059871276,1,0,1,0,46.79608586964578,benign
4820,1763244749.0450282,183,71,62005,53,1,959,1.9931749129230127,1,1,0,0,20.00739381566695,benign
3466,1763243730.6718745,207,200,25672,25,0,1011,1.4983547361054437,1,2,1,0,28.33641039238904,benign
1761,1763242923.4935524,40,230,61725,443,1,678,2.2235661557632103,0,2,1,0,15.511568944929039,benign
2305,1763242562.2244043,105,18,41764,22,1,528,0.6573407951272493,0,1,0,0,10.129038990539422,benign
3724,1763242525.8767805,169,7,58143,80,0,943,3.8610859553003296,0,2,1,0,41.067248008341515,benign
8285,1763242514.210346,136,200,26557,55242,0,73,0.045993875904191975,1,0,0,0,457.2813861828621,malicious
4994,1763244065.8243334,25,125,45382,22,1,423,3.2748269559410548,1,0,1,0,20.424165481705884,benign
8128,1763242437.8359609,249,204,30049,13026,0,45,0.04461339976341884,1,0,0,0,118.70078925492473,malicious
3033,1763242652.547476,131,94,42624,22,1,1130,4.51740270995745,0,0,0,0,14.289649327288817,benign
7939,1763242405.885434,40,209,27274,443,0,78,0.030778829763782836,18,0,0,0,575.3902448725948,malicious
3040,1763243164.5744045,64,204,64213,443,0,868,2.845634761208568,1,1,1,0,10.19108473311908,benign
9656,1763242456.2698772,77,208,62619,23,0,452,1.8402097009206968,1,1,1,18,63.300960677231565,malicious
2546,1763243366.6934748,207,94,47226,80,1,349,1.5144342968655418,1,0,0,0,29.518454763213736,benign
2593,1763242599.7531097,89,95,57615,80,1,1293,3.944735580897769,1,2,1,0,6.493397555232562,benign
1189,1763242866.5392594,88,27,55285,21,1,471,3.975919962920496,1,1,1,0,12.0083743051485,benign
7967,1763242462.7365236,45,200,35819,80,0,96,0.02020775379973845,16,1,0,0,1850.3914851036695,malicious
6078,1763245366.939936,221,41,47485,21,1,186,3.530432847771061,1,1,0,0,18.452356874964433,benign
108,1763242407.3908346,144,168,24594,443,0,653,3.598890078970159,1,1,1,0,22.59737459997318,benign
1316,1763242533.5299072,125,95,8525,53,0,333,4.356910429629277,0,2,0,0,13.563874057405911,benign
8188,1763242392.8010716,132,200,27699,31406,0,68,0.03591848637006922,1,0,0,0,424.7217762282639,malicious
2754,1763242502.0998497,165,188,24524,53,1,840,0.41615981437845945,0,2,0,0,29.32396546981121,benign
9754,1763242590.0897622,94,208,23507,23,0,299,1.5232898492488092,2,2,1,14,47.71297140930744,malicious
6232,1763244385.016852,38,2,35352,443,1,122,3.782361688342326,0,0,1,0,8.816707695325766,benign
2877,1763243797.093767,251,224,8238,80,0,514,0.4245735602329322,1,1,0,0,6.24210857397075,benign
5324,1763243364.7713804,168,76,6365,53,0,861,4.019219500876497,1,0,0,0,17.354131518268844,benign
800,1763242499.7686465,192,8,3859,22,1,102,0.8056157972071285,1,2,1,0,24.72644382803444,benign
3571,1763242871.2144384,136,17,11618,21,0,364,1.2480083064994891,1,2,0,0,42.53400222089993,benign
2895,1763242597.2753363,245,32,8257,21,0,554,2.298596371120993,1,1,0,0,27.62012423832235,benign
2928,1763242424.1648612,165,88,35689,80,1,1401,4.313716962485241,0,1,1,0,43.598117846841006,benign
